level,route,Feature,value,z score,probability of do value,probability of not do value,probability difference,p value,support
0,,psd,Acetaminophen,114.31034719681551,0.855974614314243,0.3448494574155884,0.5111251568986546,0.0,4990
0,,outcome,Death,76.88288863715051,0.70955499304481,0.31775613992411694,0.391798853120693,0.0,11311
0,,outcome,LifeThreatening,31.068672927482293,0.6387728102183591,0.42349883631103413,0.21527397390732494,0.0,5488
0,,age,18-39,26.847784285596493,0.5610843847002375,0.3719335726140323,0.18915081208620516,0.0,5350
0,,indication,HEPATIC NEOPLASM MALIGNANT,19.75496805252856,0.719683075781292,0.3747431919973898,0.34493988378390217,0.0,271
0,,indication,SUICIDE ATTEMPT,17.23475138746383,0.8268597368115296,0.3755022189846952,0.45135751782683436,0.0,170
0,,age,younger than 18,15.555546933250724,0.5799666855402151,0.3951879255834102,0.18477875995680493,0.0,1687
0,,psd,Sorafenib Tosylate,15.524659071984905,0.6898237914912777,0.41168849139968716,0.27813530009159054,0.0,360
0,,dose,PO,14.604208519388122,0.6720176087308529,0.37181341408834456,0.30020419464250836,0.0,457
0,,indication,PYREXIA,9.571886405349378,0.6246488393570373,0.37562782683934276,0.24902101251769454,0.0,297
0,,indication,HEADACHE,8.9843909406141,0.7027051353776984,0.3769274480575748,0.32577768732012363,0.0,139
0,,psd,Sevoflurane,8.726726013870135,0.7519478983384796,0.4133019922150515,0.33864590612342815,0.0,121
0,,psd,Heparin Sodium,7.477228476366245,0.6845021270905799,0.41327295955563165,0.27122916753494825,3.7969627442180354e-14,155
0,,psd,Bromfenac Sodium,6.007935892599928,0.6267460556835381,0.413664107306071,0.21308194837746713,9.395004774148674e-10,130
0,,outcome,RequiredIntervention,5.054285021986576,0.5351108879947225,0.45927569247908756,0.07583519551563495,2.1600302635427227e-07,1078
0,,indication,ATRIAL FIBRILLATION,4.717714614306833,0.5230721509472542,0.3773684815130722,0.14570366943418206,1.1925437179982623e-06,244
0,,indication,BREAST CANCER METASTATIC,4.413203720060383,0.5491634205874693,0.37772098643074964,0.17144243415671961,5.092603597711687e-06,162
0,,indication,MULTIPLE MYELOMA,3.541389713756925,0.5069196129192353,0.3779863396086606,0.12893327331057464,0.00019901260707977375,170
0,,psd,Tacrolimus,3.2806080170065504,0.5564389725418605,0.41391820496493553,0.14252076757692494,0.0005179179631238373,129
0,,psd,Moxifloxacin Hydrochloride,2.989044097957641,0.5511840018990088,0.41400435203901903,0.13717964985998982,0.001399258691647809,111
0,,psd,Rosiglitazone Maleate,2.7213933500784506,0.5176364650064335,0.41397577159300153,0.10366069341343193,0.0032503678776951705,157

1,Acetaminophen,outcome,Death,20.39654053448412,0.9549666908409686,0.8228113049501784,0.13215538589079023,0.0,1889
1,Acetaminophen,dose,PO,12.695140676747066,0.9469429261255072,0.7647573933235647,0.1821855328019425,0.0,227
1,Acetaminophen,age,18-39,12.39185296812527,0.9071218331077302,0.7957519102631699,0.11136992284456027,0.0,1560
1,Acetaminophen,gender,Female,7.493807848816165,0.8718214111816246,0.8001220323420437,0.07169937883958089,3.341771304121721e-14,2571
1,Acetaminophen,outcome,LifeThreatening,6.446460809115261,0.9324345684322559,0.8712657939785688,0.06116877445368707,5.724609675183956e-11,652
1,Acetaminophen,indication,SUICIDE ATTEMPT,5.00285217338376,0.8734681623074769,0.7276177714344315,0.1458503908730454,2.8244128824628234e-07,107
1,Acetaminophen,age,younger than 18,3.136228442870489,0.8787749584850324,0.838671839063186,0.04010311942184641,0.0008556792140164138,580
1,Death,psd,Acetaminophen,29.303275785678046,0.9431541400856579,0.6396413913998314,0.30351274868582645,0.0,537
1,Death,age,younger than 18,9.977210301474202,0.8996506111614968,0.6453968939997176,0.25425371716177925,0.0,147
1,Death,age,18-39,6.949457738356348,0.7826020309576671,0.6368952730511203,0.14570675790654686,1.8334223028659835e-12,420
1,Death,gender,Female,4.453763895778719,0.7141975065608253,0.6450466216589539,0.06915088490187138,4.218894271601492e-06,1551
1,Death,dose,larger than 100 MG,4.312924316681107,0.7383001871218975,0.6414425994842257,0.09685758763767183,8.055464045586547e-06,564
1,LifeThreatening,age,40-64,2.8102261146020626,0.5169634391456484,0.40887687922514593,0.10808655992050242,0.0024753352586696087,239
1,LifeThreatening,gender,Female,2.7900635266436584,0.5174130058258345,0.4221174294324943,0.09529557639334019,0.0026348850289658055,389
1,18-39,psd,Acetaminophen,53.09751242685663,0.9076921811070441,0.41712294545189804,0.49056923565514604,0.0,1570
1,18-39,outcome,Death,30.070328099287508,0.8462539693267958,0.49068757468573376,0.355566394641062,0.0,1591
1,18-39,dose,PO,11.677178803623557,0.8496341733731297,0.47834551644148443,0.3712886569316453,0.0,115
1,18-39,gender,Female,8.036784828766004,0.602275292265811,0.4961286925188703,0.10614659974694068,4.440892098500626e-16,3220
1,18-39,outcome,LifeThreatening,4.487831470539298,0.6669100643783633,0.5949372009549011,0.07197286342346221,3.597590508275239e-06,1045
1,18-39,outcome,RequiredIntervention,2.888268649936945,0.6828327615635091,0.6059903880940652,0.07684237346944389,0.0019368443462550733,302
1,18-39,psd,Ibuprofen,2.0177713077707105,0.6089416904300323,0.5582112395375414,0.05073045089249095,0.021807542198925667,303
1,18-39,indication,MULTIPLE SCLEROSIS,1.679678948094402,0.5534611237948572,0.47280921802354225,0.08065190577131498,0.04650989894558322,105
1,younger than 18,psd,Acetaminophen,24.73238883400935,0.8796028033926694,0.42131981987762995,0.45828298351503943,0.0,584
1,younger than 18,outcome,Death,13.994175435945051,0.8536330301012006,0.5377095365895586,0.31592349351164206,0.0,400
1,younger than 18,indication,PYREXIA,8.20398005393695,0.7727475444269629,0.48041266883205047,0.29233487559491245,1.1102230246251565e-16,135
1,younger than 18,outcome,LifeThreatening,3.073445359536512,0.6870270957553867,0.6028115835067384,0.08421551224864832,0.0010580121703819279,375
1,Sorafenib Tosylate,indication,HEPATIC NEOPLASM MALIGNANT,3.199321226771289,0.7324242215686944,0.5800688732269522,0.15235534834174214,0.0006887579517959042,245
1,PO,psd,Acetaminophen,17.34291763615939,0.9492323989593021,0.39355737242089245,0.5556750265384096,0.0,172
1,PO,outcome,Death,10.539077114793809,0.873211868675381,0.4369079392847024,0.43630392939067864,0.0,197
1,PYREXIA,age,younger than 18,5.3730189942488025,0.8045536866975002,0.5106425200669813,0.29391116663051886,3.871458453819088e-08,120
1,PYREXIA,psd,Acetaminophen,3.719661667357611,0.7465127869024591,0.5533684222868054,0.19314436461565376,9.9744912230193e-05,122
1,ATRIAL FIBRILLATION,gender,Female,2.2819136948545116,0.5881469365100961,0.4449185265550784,0.14322840995501768,0.011247218072884646,104

2,Acetaminophen->Death,age,18-39,2.90058279261216,0.9611062631782963,0.9070174218857147,0.054088841292581624,0.0018623471385651458,129
2,Acetaminophen->18-39,outcome,Death,9.789695476240643,0.9684267604524202,0.8835693015193667,0.08485745893305341,0.0,641
2,Acetaminophen->18-39,gender,Female,6.109158640808137,0.9301401691659801,0.8534730365434113,0.07666713262256875,5.007886327845767e-10,1041
2,Acetaminophen->Female,outcome,Death,11.685221466976563,0.9568386299788247,0.8590110999330314,0.09782753004579336,0.0,1011
2,Acetaminophen->Female,age,18-39,11.157157227613697,0.9301401691659801,0.8082626077005688,0.12187756146541129,0.0,1041
2,Acetaminophen->Female,dose,PO,7.977480033797066,0.9516360653796235,0.8022483843761681,0.14938768100345545,7.771561172376096e-16,133
2,Acetaminophen->younger than 18,outcome,Death,6.675412311730197,0.9809474240689647,0.862740342312223,0.11820708175674177,1.2326917264715576e-11,145
2,Death->Acetaminophen,age,18-39,2.90058279261216,0.9611062631782963,0.9070174218857147,0.054088841292581624,0.0018623471385651458,129
2,Death->18-39,psd,Acetaminophen,9.289102849078988,0.9611062631782963,0.7034712888392443,0.257634974339052,0.0,129
2,Death->18-39,gender,Female,5.1184448573195676,0.8703079918177006,0.6728217470286282,0.1974862447890724,1.54032639310131e-07,239
2,Death->Female,psd,Acetaminophen,18.786674271212455,0.9452771662824457,0.667228638564654,0.27804852771779176,0.0,262
2,Death->Female,age,18-39,8.463105652353537,0.8703079918177006,0.6651601618392763,0.2051478299784243,0.0,239
2,Death->Female,dose,larger than 100 MG,3.502674760668655,0.7723430210372577,0.6557882496709709,0.11655477136628678,0.0002303057565119504,237
2,18-39->Acetaminophen,outcome,Death,9.789695476240643,0.9684267604524202,0.8835693015193667,0.08485745893305341,0.0,641
2,18-39->Acetaminophen,gender,Female,6.109158640808137,0.9301401691659801,0.8534730365434113,0.07666713262256875,5.007886327845767e-10,1041
2,18-39->Death,psd,Acetaminophen,9.289102849078988,0.9611062631782963,0.7034712888392443,0.257634974339052,0.0,129
2,18-39->Death,gender,Female,5.1184448573195676,0.8703079918177006,0.6728217470286282,0.1974862447890724,1.54032639310131e-07,239
2,18-39->Female,psd,Acetaminophen,42.15771887025131,0.930512467289193,0.4441232801859677,0.4863891871032253,0.0,1047
2,18-39->Female,outcome,Death,23.84487212024954,0.8873991292536283,0.5476852093648691,0.3397139198887592,0.0,931
2,18-39->Female,outcome,LifeThreatening,6.35928055877605,0.7606550996570534,0.634737627717839,0.12591747193921432,1.0135048356119114e-10,567
2,18-39->Female,outcome,RequiredIntervention,3.238515990799235,0.7585900981622283,0.6535856278170719,0.10500447034515648,0.0006007664262540624,175
2,18-39->Female,dose,larger than 100 MG,2.489852481820594,0.5655371840131922,0.5021794675019841,0.06335771651120814,0.006389806320704072,608
2,younger than 18->Acetaminophen,outcome,Death,6.675412311730197,0.9809474240689647,0.862740342312223,0.11820708175674177,1.2326917264715576e-11,145
