Feature,value,z score,probability of do value,probability of not do value,probability difference,p value,support
psd,Acetaminophen,142.55525414344478,0.8310047449321599,0.3477950825891143,0.48320966234304563,0.0,4990
outcome,Death,79.21707578874813,0.6738345769351384,0.32222505110859634,0.35160952582654204,0.0,11311
age,18-39,30.16400902479318,0.5614297285242985,0.37256497137197414,0.18886475715232437,0.0,5350
indication,SUICIDE ATTEMPT,25.585835188303566,0.8649478358058826,0.37374827582695236,0.4911995599789303,0.0,170
outcome,LifeThreatening,24.73969869697232,0.5798395489838704,0.4237445957354852,0.15609495324838518,0.0,5488
indication,HEPATIC NEOPLASM MALIGNANT,21.34545854679293,0.7193107553616244,0.37328284925278116,0.3460279061088432,0.0,271
psd,Sorafenib Tosylate,18.267120734054686,0.6858040304194455,0.41086587936806485,0.27493815105138064,0.0,360
age,younger than 18,16.182208056470355,0.5696513736804969,0.3964151627552762,0.17323621092522068,0.0,1687
dose,PO,13.995600960737395,0.6321019271225382,0.380082711319953,0.2520192158025852,0.0,457
gender,Female,10.135883310534952,0.42595920048140096,0.38134823120804273,0.044610969273358225,0.0,17843
psd,Heparin Sodium,9.948791193886398,0.706355901612903,0.41232253802501295,0.29403336358789,0.0,155
indication,PYREXIA,8.290011610429223,0.5733173503720543,0.37486146537383486,0.19845588499821948,1.1102230246251565e-16,297
indication,HEADACHE,7.77981642513277,0.6583745209100713,0.3757523293310062,0.2826221915790651,3.6637359812630166e-15,139
indication,MULTIPLE MYELOMA,7.310622500395563,0.5578218989235294,0.37613290287742085,0.18168899604610855,1.3300471835009375e-13,170
psd,Bromfenac Sodium,7.305064387488247,0.6467774246846156,0.4127357770847257,0.23404164759988993,1.3855583347321954e-13,130
psd,Sevoflurane,6.642787999307373,0.6674319508099174,0.41272502659669186,0.2547069242132255,1.5390244634261308e-11,121
psd,Rosiglitazone Maleate,5.711783748064468,0.568717845636943,0.41289839568611997,0.15581944995082309,5.589904872316254e-09,157
dose,larger than 100 MG,5.5575685336342175,0.40807702241573895,0.37385196565656803,0.034225056759170924,1.3677929344702022e-08,6919
outcome,RequiredIntervention,5.253084972935606,0.5187655811961964,0.4491741948824748,0.06959138631372164,7.478624342027729e-08,1078
indication,BACK PAIN,5.069647481677853,0.4877828126154893,0.3756627900758456,0.1121200225396437,1.9927660088736587e-07,368
indication,ATRIAL FIBRILLATION,5.057290496741652,0.5125417353073766,0.3760230717154637,0.1365186635919129,2.1262759919427054e-07,244
psd,Ibuprofen,4.640391425755853,0.4642340395666978,0.4121053875303406,0.05212865203635719,1.7387492475817723e-06,1027
indication,BREAST CANCER METASTATIC,4.052557822667232,0.5145639366419755,0.3765192107739642,0.1380447258680113,2.5330348740748576e-05,162
psd,Peginterferon Alfa-2a,4.033444669536422,0.551610669801802,0.41314645563729485,0.1384642141645071,2.7482563690339745e-05,111
psd,Bevacizumab,3.788905768594393,0.5516899680063291,0.41296783066997583,0.13872213733635325,7.565614518967312e-05,158
psd,Troglitazone,3.546303366844019,0.48414236594409965,0.4129403092010545,0.07120205674304514,0.00019533808933513974,322
indication,PLASMA CELL MYELOMA,3.4659058756342085,0.48392579645714306,0.3766821661460999,0.10724363031104317,0.00026422412227355974,175
psd,Tacrolimus,2.956534859925654,0.5300396012403097,0.41315440242338547,0.11688519881692422,0.001555585303194662,129
indication,METASTATIC RENAL CELL CARCINOMA,2.7657890077991287,0.4891483352540324,0.3769019296179132,0.1122464056361192,0.002839263120621549,124
indication,NON-SMALL CELL LUNG CANCER,2.719543707098374,0.4790821770472973,0.3768469895111159,0.10223518753618138,0.0032686027493790126,148
psd,Fentanyl,2.6722090623824966,0.4866106336904764,0.41322941800978563,0.07338121568069078,0.0037676842837414126,168
indication,PULMONARY HYPERTENSION,2.4770889354449053,0.4560741708333333,0.37714640528615523,0.07892776554717806,0.006622944567230449,108
dose,ORAL,2.306130365899657,0.42385580540286666,0.3847237571325672,0.03913204827029948,0.010551674512757847,628
psd,Peginterferon Alfa-2b,1.9163864079323114,0.4885326051439994,0.41330920632384827,0.07522339882015111,0.02765796480148852,125
psd,Paclitaxel,1.7481035430987704,0.4804427949821434,0.4133607525473507,0.06708204243479265,0.04022304979582969,112
