level,route,Feature,value,z score,probability of do value,probability of not do value,probability difference,p value,support
0,,psd,Acetaminophen,109.95238548233449,0.8430568563007381,0.3513196968697258,0.4917371594310123,0.0,4990
0,,outcome,Death,78.58690191814507,0.7141032365519502,0.319593138734421,0.39451009781752916,0.0,11311
0,,outcome,LifeThreatening,31.786216364308146,0.6438553714596182,0.4258449737860386,0.21801039767357966,0.0,5488
0,,age,18-39,27.697822340723093,0.5699673573529087,0.37668357063430435,0.19328378671860436,0.0,5350
0,,indication,HEPATIC NEOPLASM MALIGNANT,20.833076569832418,0.745386908111587,0.37922056198676724,0.3661663461248198,0.0,271
0,,psd,Sorafenib Tosylate,18.569843019695995,0.73349062157697,0.4151247406058799,0.3183658809710901,0.0,360
0,,age,younger than 18,15.8657727101471,0.5866781755910704,0.40059939685707957,0.1860787787339908,0.0,1687
0,,indication,SUICIDE ATTEMPT,15.64119972823588,0.8149718628305177,0.38036937946365307,0.43460248336686463,0.0,170
0,,dose,PO,13.74848018628086,0.6667172440584438,0.378771841904129,0.2879454021543148,0.0,457
0,,psd,Sevoflurane,9.288299255928845,0.7569951924675709,0.41712926694617364,0.3398659255213972,0.0,121
0,,psd,Heparin Sodium,8.992280113460549,0.7211023256939991,0.41696512825341575,0.3041371974405834,0.0,155
0,,indication,PYREXIA,8.702539428679636,0.6110959752602628,0.3806154573403884,0.23048051791987445,0.0,297
0,,indication,HEADACHE,8.535302408481167,0.6968964915244356,0.38173238017494987,0.3151641113494857,0.0,139
0,,indication,MULTIPLE MYELOMA,5.072736976930911,0.5651513408301762,0.38230906837619133,0.18284227245398482,1.9606716794573487e-07,170
0,,outcome,RequiredIntervention,4.691209772535086,0.5308708983301778,0.4623675509388059,0.06850334739137187,1.3579716496847638e-06,1078
0,,indication,BREAST CANCER METASTATIC,4.679434028566698,0.5620025104631667,0.3823991404530341,0.17960337001013266,1.4383395016137612e-06,162
0,,indication,ATRIAL FIBRILLATION,4.584498760145307,0.5215769280490589,0.38217625267374983,0.13940067537530904,2.2753839382660956e-06,244
0,,psd,Bromfenac Sodium,3.898812800235859,0.5509530430078691,0.4177787615151713,0.13317428149269778,4.8332734521983056e-05,130
0,,indication,PLASMA CELL MYELOMA,3.573574037207659,0.506372789047493,0.38273721068773586,0.12363557835975719,0.00017607080740589254,175
0,,psd,Bevacizumab,3.191664723003656,0.5386926796841519,0.4177296767145617,0.12096300296959023,0.0007072771330735028,158
0,,psd,Fentanyl,2.4838429342069928,0.508024262907453,0.41783771562582667,0.09018654728162628,0.006498656045473283,168
0,,psd,Tacrolimus,2.326155856182527,0.5188342841942216,0.41789582310962164,0.10093846108459997,0.010005118830440418,129
0,,psd,Ribavirin,2.282419264796035,0.5013595386406465,0.4179164150824774,0.08344312355816913,0.011232299514296162,147
0,,psd,Moxifloxacin Hydrochloride,2.044682085890006,0.5131340479917975,0.4179628441361062,0.09517120385569133,0.020443105435143716,111
0,,psd,Peginterferon Alfa-2a,1.8612795675608589,0.5011512513358919,0.41799923511910997,0.08315201621678192,0.031352353522464016,111

1,Acetaminophen,outcome,Death,22.244306610044173,0.9473593346509149,0.8022364846128995,0.1451228500380154,0.0,1889
1,Acetaminophen,age,18-39,12.400980023962257,0.896862493831925,0.7876089288632666,0.10925356496865835,0.0,1560
1,Acetaminophen,dose,PO,12.083207876402154,0.9399234709557474,0.7619610529683708,0.17796241798737655,0.0,227
1,Acetaminophen,gender,Female,8.167439683428274,0.8629232635063009,0.7850382389537787,0.07788502455252222,1.1102230246251565e-16,2571
1,Acetaminophen,outcome,LifeThreatening,7.17524324324906,0.9240588746639448,0.8551896707452102,0.06886920391873452,3.609335053056384e-13,652
1,Acetaminophen,indication,SUICIDE ATTEMPT,3.626359228708333,0.8495004404760184,0.7271851082142511,0.12231533226176727,0.00014372270264528808,107
1,Acetaminophen,age,younger than 18,3.3837646854128827,0.8704374727503891,0.829439074419174,0.0409983983312151,0.0003574962684144145,580
1,Death,psd,Acetaminophen,31.14309094906287,0.9501537853286539,0.6385155997623625,0.3116381855662914,0.0,537
1,Death,age,younger than 18,9.550135067296912,0.894028518740829,0.6516080661847671,0.24242045255606193,0.0,147
1,Death,age,18-39,5.57664628538477,0.7668547168699736,0.6462479541939835,0.12060676267599013,1.2259986359453023e-08,420
1,Death,gender,Female,4.335144280587371,0.7122608484035998,0.6455521278759354,0.06670872052766441,7.2832275006540215e-06,1551
1,Death,dose,larger than 100 MG,3.348666441040551,0.7246829752748908,0.6496794658536472,0.07500350942124356,0.0004060074565438443,564
1,LifeThreatening,gender,Female,6.442372012213123,0.6223858918532846,0.40721667685622776,0.21516921499705688,5.881028997123394e-11,389
1,18-39,psd,Acetaminophen,50.619346763959925,0.8965735981769443,0.4343134425132907,0.4622601556636536,0.0,1570
1,18-39,outcome,Death,28.74061085308501,0.8421797168217695,0.5037098495407301,0.33846986728103945,0.0,1591
1,18-39,dose,PO,10.107137775679758,0.8268217967018787,0.4867378369375516,0.3400839597643271,0.0,115
1,18-39,outcome,LifeThreatening,7.052339579057105,0.7035017576846028,0.5937981049598012,0.10970365272480154,8.796297024105115e-13,1045
1,18-39,gender,Female,6.766981113453871,0.6038002866141069,0.5153270606636997,0.08847322595040719,6.5748517741326395e-12,3220
1,18-39,psd,Ibuprofen,3.1788641563504707,0.6477944912013684,0.5652949536366244,0.08249953756474404,0.000739266829057672,303
1,Sorafenib Tosylate,indication,HEPATIC NEOPLASM MALIGNANT,1.7142527209054919,0.7590367229681637,0.6817642686873813,0.07727245428078244,0.043241161069629164,245
1,younger than 18,psd,Acetaminophen,23.960196364467464,0.8712888404370301,0.4359867628349103,0.43530207760211986,0.0,584
1,younger than 18,outcome,Death,14.29824940824802,0.8610230297146778,0.5471874687083678,0.31383556100631005,0.0,400
1,younger than 18,indication,PYREXIA,6.78463114824967,0.7461502461393109,0.48677119572062794,0.259379050418683,5.8191229612702955e-12,135
1,younger than 18,outcome,LifeThreatening,3.966962966345275,0.7118583354739365,0.6061908446245903,0.10566749084934624,3.63971491784687e-05,375
1,PO,psd,Acetaminophen,17.687622351277582,0.9546642756395344,0.3899234796621341,0.5647407959774002,0.0,172
1,PO,outcome,Death,9.850769213216038,0.8714497892265071,0.46084204111742855,0.4106077481090785,0.0,197
1,PO,gender,Female,2.8589142522863686,0.7037473899607593,0.5677089830970002,0.136038406863759,0.002125468370807182,191
1,PYREXIA,age,younger than 18,5.283432268579743,0.7727469247206333,0.47325428075132986,0.2994926439693035,6.339287594858689e-08,120
1,PYREXIA,psd,Acetaminophen,4.093294039207919,0.734494858067377,0.5201137919069445,0.2143810661604325,2.126439232519317e-05,122
1,ATRIAL FIBRILLATION,gender,Female,1.6544573790925385,0.5705629341533112,0.4675417284670002,0.10302120568631096,0.04901730815010763,104

2,Acetaminophen->Death,gender,Female,3.1673319268742453,0.9618845408549621,0.9171200910627696,0.04476444979219252,0.0007692230521210153,262
2,Acetaminophen->Death,age,18-39,2.0030976398624034,0.973712894108527,0.9394998488085147,0.034213045300012346,0.0225834046395732,129
2,Acetaminophen->18-39,outcome,Death,10.516641384933896,0.9577497197008281,0.8721601107014512,0.08558960899937695,0.0,641
2,Acetaminophen->18-39,gender,Female,7.015725462017216,0.9215333171891193,0.8395041552733261,0.08202916191579324,1.1437517599688363e-12,1041
2,Acetaminophen->18-39,outcome,LifeThreatening,1.9309007694687166,0.933172295478984,0.905135557108461,0.028036738370522896,0.026747662511827475,222
2,Acetaminophen->Female,outcome,Death,14.686810240388928,0.9594634603497105,0.8411256109846402,0.1183378493650703,0.0,1011
2,Acetaminophen->Female,age,18-39,10.684067229765168,0.9215333171891193,0.8098173888528809,0.11171592833623845,0.0,1041
2,Acetaminophen->Female,dose,PO,6.422089470514944,0.9378744314808651,0.8149102887258689,0.12296414275499623,6.720823897410355e-11,133
2,Acetaminophen->Female,outcome,LifeThreatening,1.9736454747562189,0.9167626195967798,0.8885484208090023,0.028214198787777534,0.024211034546882115,351
2,Acetaminophen->younger than 18,outcome,Death,8.317890854180545,0.9764476710151712,0.8425301457607731,0.13391752525439804,0.0,145
2,Acetaminophen->younger than 18,gender,Female,2.8510511131847642,0.8764059567148414,0.7976880331981876,0.07871792351665385,0.0021787482102121336,270
2,Death->Acetaminophen,gender,Female,3.1673319268742453,0.9618845408549621,0.9171200910627696,0.04476444979219252,0.0007692230521210153,262
