level,route,Feature,value,z score,probability of do value,probability of not do value,probability difference,p value,support
0,,outcome,Death,74.44030678066963,0.7155681965975509,0.31901037853912684,0.39655781805842405,0.0,11311
0,,outcome,LifeThreatening,30.10585711131762,0.6410755446989885,0.42665709120788753,0.214418453491101,0.0,5488
0,,patient age,18-39,27.685173004279108,0.5759367638483678,0.3725828405004053,0.20335392334796248,0.0,5350
0,,indication,HEPATIC NEOPLASM MALIGNANT,19.09243227774286,0.8006165550030594,0.37859091818703533,0.42202563681602406,0.0,271
0,,dose,PO,16.6209280078296,0.7114805619351924,0.37568563916197645,0.33579492277321593,0.0,503
0,,primary suspect drug,Sorafenib Tosylate,16.152674564286556,0.7566015373646089,0.41589540295541183,0.34070613440919706,0.0,360
0,,secondary suspect drug,Diphenhydramine Hydrochloride,15.549527306217472,0.8165783285455722,0.3633565123825728,0.4532218161629994,0.0,180
0,,patient age,younger than 18,14.849305488606015,0.5802702760811597,0.398530942033807,0.18173933404735265,0.0,1687
0,,indication,SUICIDE ATTEMPT,14.11827748028398,0.8021788326056646,0.38052732971279385,0.42165150289287073,0.0,170
0,,secondary suspect drug,Hydrocodone Bitartrate,13.542467230062282,0.752467656959464,0.36297812420186165,0.3894895327576024,0.0,226
0,,secondary suspect drug,Alcohol,12.407952544754622,0.6591092963980453,0.3612202912019536,0.2978890051960917,0.0,396
0,,indication,HEADACHE,9.860729435829212,0.7463285633664243,0.3814784108784079,0.3648501524880164,0.0,139
0,,primary suspect drug,Sevoflurane,9.24643049607912,0.7710954747214299,0.4180758900846838,0.3530195846367461,0.0,121
0,,secondary suspect drug,Propofol,8.32537864525284,0.724784971175936,0.3658492279117851,0.3589357432641509,0.0,109
0,,indication,PYREXIA,8.07619415179719,0.609378833015033,0.3806980055915425,0.22868082742349055,3.3306690738754696e-16,297
0,,primary suspect drug,Heparin Sodium,7.322564498811277,0.6889361161169034,0.4180959425337621,0.27084017358314133,1.2168044349891716e-13,155
0,,secondary suspect drug,Ibuprofen,7.185828527209342,0.5018995882850497,0.36257564835099887,0.1393239399340508,3.339550858072471e-13,681
0,,secondary suspect drug,Metamizole,6.060699917032982,0.5840406478562157,0.3657107423534402,0.21832990550277548,6.776523786555799e-10,190
0,,route,respiratory,4.2698110791456365,0.5481415716215603,0.3876969381875693,0.160444633433991,9.781930487173796e-06,175
0,,outcome,RequiredIntervention,4.21799374982826,0.5273030049272086,0.46267422522352514,0.06462877970368347,1.2324282499531769e-05,1078
0,,secondary suspect drug,Oxycodone Hydrochloride,3.894731229166291,0.5063013875381271,0.3665379528303547,0.13976343470777247,4.915383688619546e-05,200
0,,indication,ATRIAL FIBRILLATION,3.6503504889073612,0.5000414447055492,0.3824776673777425,0.1175637773278067,0.00013094135650415506,244
0,,indication,BREAST CANCER METASTATIC,3.5199416780072665,0.5212450661274632,0.3827612319287883,0.13848383419867494,0.00021582085034455023,162
0,,secondary suspect drug,Tacrolimus,2.906736781862828,0.5094170292330473,0.36726159994745494,0.14215542928559238,0.0018261018673968454,106
0,,primary suspect drug,Bromfenac Sodium,2.7928155179428695,0.5376950777756843,0.41881950168418086,0.1188755760915034,0.0026125741067452024,130
0,,primary suspect drug,Rosiglitazone Maleate,2.391165992959852,0.5083924299430179,0.41883306955486294,0.08955936038815498,0.00839747884308506,167
0,,primary suspect drug,Moxifloxacin Hydrochloride,2.166317680791471,0.520987290914162,0.4189320379437527,0.10205525297040924,0.015143459771812307,111

1,Death,patient age,younger than 18,6.785020094175533,0.8501412102801563,0.6408137552006128,0.20932745507954353,5.803468816623081e-12,147
1,Death,patient age,18-39,5.3537296318767345,0.7564678526333682,0.63333953814559,0.12312831448777828,4.307978529460854e-08,420
1,Death,patient gender,Female,4.572394840772287,0.7046288368997721,0.6299832418056937,0.07464559509407842,2.4109061620425365e-06,1551
1,Death,dose,larger than 100 MG,4.205921626655025,0.7414215864831456,0.6464380893710211,0.0949834971121245,1.3001016859304215e-05,598
1,Death,secondary suspect drug,Aspirin,2.7546034746166836,0.7355705839947683,0.6210546787497019,0.11451590524506639,0.0029381652597779695,125
1,Death,route,oral,2.743449616678134,0.7026240494814654,0.6437589000205909,0.05886514946087451,0.0030398688599869716,1553
1,Death,patient weight,50-70,2.43321356878741,0.7080852974701282,0.6385027841709476,0.06958251329918053,0.00748273540924127,448
1,LifeThreatening,primary suspect drug,Acetaminophen,17.466726946668658,0.9404345254053915,0.4263926374885779,0.5140418879168136,0.0,102
1,LifeThreatening,patient gender,Female,4.685269417780501,0.5718606450043436,0.4102001641819384,0.16166048082240525,1.397959532356552e-06,389
1,LifeThreatening,patient age,40-64,2.18013662325531,0.5240606279040795,0.43826891261097844,0.08579171529310103,0.014623667874557045,239
1,LifeThreatening,dose,larger than 100 MG,1.8777748106610046,0.5219968598054708,0.4244321041109046,0.09756475569456624,0.03020598878123748,136
1,18-39,outcome,Death,26.813514418818492,0.8487985087168903,0.5126203283125041,0.3361781804043862,0.0,1591
1,18-39,dose,PO,10.071869049090038,0.8373169649877119,0.5042940548841455,0.33302291010356644,0.0,132
1,18-39,secondary suspect drug,Acetaminophen,8.660281410683732,0.6565509598599105,0.4710985799853556,0.18545237987455493,0.0,715
1,18-39,patient gender,Female,8.451468274353276,0.6207516325986284,0.5041062617041333,0.11664537089449512,0.0,3220
1,18-39,route,oral,6.871445588197346,0.5661190424567677,0.4239575238905876,0.1421615185661801,3.177680341082123e-12,2635
1,18-39,patient weight,50-70,6.5644969490565686,0.6168604286230298,0.45601547869020514,0.16084494993282467,2.610445193340638e-11,831
1,18-39,secondary suspect drug,Ibuprofen,6.422251570782873,0.7076112122047855,0.5036912345078636,0.20391997769692194,6.713662958901523e-11,224
1,18-39,outcome,LifeThreatening,5.126055520958159,0.691303111240148,0.6077394476742505,0.0835636635658975,1.4793769387289046e-07,1045
1,18-39,secondary suspect drug,Alcohol,4.339225451070052,0.6822089256872846,0.511541089281875,0.1706678364054096,7.14928884038013e-06,151
1,18-39,secondary suspect drug,Aspirin,3.493566940346476,0.6764152065994581,0.5148878627459492,0.16152734385350886,0.00023830673833435956,107
1,18-39,indication,MULTIPLE SCLEROSIS,3.2084225778245767,0.6471410989271145,0.4938760211815541,0.15326507774556036,0.0006673261901866123,105
1,18-39,dose,larger than 100 MG,2.092612393036572,0.5431640956618632,0.5031340718130952,0.04003002384876797,0.01819188468279631,1177
1,PO,primary suspect drug,Acetaminophen,14.468120451566627,0.9425383193278671,0.4123793365766021,0.530158982751265,0.0,211
1,PO,outcome,Death,10.063301114465373,0.8998555671521726,0.4736014105787161,0.42625415657345656,0.0,215
1,PO,patient age,18-39,4.1657338797179815,0.8109706611483688,0.6100697746194569,0.20090088652891192,1.5517628316974452e-05,103
1,PO,patient gender,Female,2.005982084974101,0.7124579370538581,0.6155856058195835,0.09687233123427452,0.02242907971062169,204
1,Sorafenib Tosylate,indication,HEPATIC NEOPLASM MALIGNANT,3.687555749973383,0.8032450727189925,0.6171453355280899,0.18609973719090256,0.00011320924882840533,249
1,Sorafenib Tosylate,patient age,40-64,2.179041473507125,0.7931064023113523,0.7019319224863976,0.09117447982495475,0.014664293694901853,173
1,younger than 18,outcome,Death,12.587779677664756,0.8390859483607952,0.5428879958674028,0.2961979524933924,0.0,400
1,younger than 18,indication,PYREXIA,5.551810768669429,0.7187600176824885,0.48406466066095355,0.234695357021535,1.4136277592946556e-08,135
1,younger than 18,route,oral,4.788880119209211,0.5710349050357119,0.41452175041566536,0.1565131546200465,8.385731501414639e-07,706
1,younger than 18,secondary suspect drug,Acetaminophen,3.7686481121771984,0.6001566057477584,0.44778005183879904,0.15237655390895938,8.206704106450413e-05,204
1,younger than 18,outcome,LifeThreatening,3.4256732318645184,0.6948862414858643,0.5997611123247891,0.09512512916107518,0.0003066388564648692,375
1,younger than 18,patient weight,50-70,3.2411176994219724,0.620527577906803,0.4814901626628469,0.13903741524395613,0.000595310069963384,173
1,PYREXIA,patient age,younger than 18,3.6998969254916663,0.7419418391630079,0.5100366527861414,0.23190518637686652,0.00010784352584503054,120
1,PYREXIA,primary suspect drug,Acetaminophen,3.6703156323663277,0.7300591043342276,0.5188032484965944,0.21125585583763318,0.00012112557433274773,124
1,Ibuprofen,outcome,Death,15.718421380444434,0.8396161148977873,0.40119184300673644,0.4384242718910509,0.0,273
1,Ibuprofen,patient age,18-39,10.668286225101896,0.6846196670843409,0.3674008052140637,0.31721886187027715,0.0,384
1,Ibuprofen,secondary suspect drug,Acetaminophen,6.5580682351132396,0.6599552661324726,0.42394565250015076,0.2360096136323218,2.7254642986918043e-11,264
1,Ibuprofen,patient gender,Male,2.6254535900531426,0.5305819070061383,0.45156637826857376,0.07901552873756451,0.004326680235664515,437
1,Ibuprofen,indication,PYREXIA,2.5345693588814533,0.57147705691053,0.4370694246214865,0.13440763228904345,0.005629281834342081,100
1,Ibuprofen,outcome,LifeThreatening,1.9067968078470174,0.5672484886577146,0.4964746300760708,0.07077385858164381,0.028273452441877067,221
1,ATRIAL FIBRILLATION,patient gender,Female,1.6783651528941244,0.5480643036175094,0.43757909788267957,0.11048520573482978,0.04663791803664785,104

2,Death->18-39,primary suspect drug,Acetaminophen,11.090087082923695,0.9797365326902773,0.6399798456471554,0.3397566870431219,0.0,144
2,Death->18-39,patient gender,Female,5.5251776889935185,0.8576362205063595,0.6213207449176859,0.2363154755886736,1.6457615714671192e-08,239
2,Death->Female,patient age,18-39,7.295850918265722,0.8576362205063595,0.6620031351063189,0.19563308540004054,1.4843681839238343e-13,239
2,Death->Female,dose,larger than 100 MG,1.9428583717709593,0.7287799753285652,0.6614891680268459,0.06729080730171932,0.02601663641840446,255
2,Death->larger than 100 MG,route,oral,1.7570430453338555,0.7743639498007262,0.6846099629912353,0.08975398680949087,0.03945523621004021,347
2,Death->oral,patient age,18-39,5.3207510639752105,0.8381970839136639,0.6715208401617062,0.16667624375195766,5.166986349891545e-08,167
2,Death->oral,dose,larger than 100 MG,4.366947695891404,0.7743639498007262,0.6477940810933395,0.12656986870738673,6.299744189086631e-06,347
2,18-39->Death,primary suspect drug,Acetaminophen,11.090087082923695,0.9797365326902773,0.6399798456471554,0.3397566870431219,0.0,144
2,18-39->Death,patient gender,Female,5.5251776889935185,0.8576362205063595,0.6213207449176859,0.2363154755886736,1.6457615714671192e-08,239
2,18-39->Acetaminophen,outcome,Death,9.289192904075405,0.979265424982659,0.8739183934994362,0.10534703148322277,0.0,692
2,18-39->Acetaminophen,patient gender,Female,4.614967184923603,0.9262132180553265,0.8526997297339003,0.07351348832142623,1.9657871558331763e-06,1141
2,18-39->Acetaminophen,dose,PO,4.174770472138544,0.9475268178610939,0.8425052604341621,0.10502155742693187,1.4914332080229187e-05,106
2,18-39->Female,outcome,Death,22.13717712509274,0.8983623841269055,0.5677893674574329,0.3305730166694726,0.0,931
2,18-39->Female,outcome,LifeThreatening,9.66877486292427,0.8229133704485095,0.6404109920448487,0.1825023784036608,0.0,567
2,18-39->Female,secondary suspect drug,Acetaminophen,6.691598036341731,0.7160537879726582,0.5337410680787401,0.18231271989391806,1.1037282199310994e-11,427
