Feature,value,z score,probability of do value,probability of not do value,probability difference,p value,support
outcome,Death,74.44030678066963,0.7155681965975509,0.31901037853912684,0.39655781805842405,0.0,11311
outcome,LifeThreatening,30.10585711131762,0.6410755446989885,0.42665709120788753,0.214418453491101,0.0,5488
patient age,18-39,27.685173004279108,0.5759367638483678,0.3725828405004053,0.20335392334796248,0.0,5350
indication,HEPATIC NEOPLASM MALIGNANT,19.09243227774286,0.8006165550030594,0.37859091818703533,0.42202563681602406,0.0,271
dose,PO,16.6209280078296,0.7114805619351924,0.37568563916197645,0.33579492277321593,0.0,503
primary suspect drug,Sorafenib Tosylate,16.152674564286556,0.7566015373646089,0.41589540295541183,0.34070613440919706,0.0,360
secondary suspect drug,Diphenhydramine Hydrochloride,15.549527306217472,0.8165783285455722,0.3633565123825728,0.4532218161629994,0.0,180
patient age,younger than 18,14.849305488606015,0.5802702760811597,0.398530942033807,0.18173933404735265,0.0,1687
indication,SUICIDE ATTEMPT,14.11827748028398,0.8021788326056646,0.38052732971279385,0.42165150289287073,0.0,170
secondary suspect drug,Hydrocodone Bitartrate,13.542467230062282,0.752467656959464,0.36297812420186165,0.3894895327576024,0.0,226
secondary suspect drug,Alcohol,12.407952544754622,0.6591092963980453,0.3612202912019536,0.2978890051960917,0.0,396
patient gender,Female,10.389698823151507,0.43325129534826845,0.3788907367380431,0.054360558610225373,0.0,17843
indication,HEADACHE,9.860729435829212,0.7463285633664243,0.3814784108784079,0.3648501524880164,0.0,139
primary suspect drug,Sevoflurane,9.24643049607912,0.7710954747214299,0.4180758900846838,0.3530195846367461,0.0,121
secondary suspect drug,Propofol,8.32537864525284,0.724784971175936,0.3658492279117851,0.3589357432641509,0.0,109
indication,PYREXIA,8.07619415179719,0.609378833015033,0.3806980055915425,0.22868082742349055,3.3306690738754696e-16,297
primary suspect drug,Heparin Sodium,7.322564498811277,0.6889361161169034,0.4180959425337621,0.27084017358314133,1.2168044349891716e-13,155
secondary suspect drug,Ibuprofen,7.185828527209342,0.5018995882850497,0.36257564835099887,0.1393239399340508,3.339550858072471e-13,681
secondary suspect drug,Metamizole,6.060699917032982,0.5840406478562157,0.3657107423534402,0.21832990550277548,6.776523786555799e-10,190
patient weight,50-70,5.7529711112713215,0.438426074593703,0.3875361572552799,0.050889917338423074,4.3844237129775365e-09,5060
dose,larger than 100 MG,5.573317456318627,0.40898918332796735,0.36985916886087367,0.03913001446709369,1.2496676249362793e-08,7377
secondary suspect drug,Acetaminophen,5.26995250065383,0.40818152584267037,0.3584709694277813,0.049710556414889084,6.822953346752314e-08,3496
route,intravenous,5.126231639930222,0.4299800301229332,0.38284366262439545,0.04713636749853772,1.4779944468301665e-07,3252
route,respiratory,4.2698110791456365,0.5481415716215603,0.3876969381875693,0.160444633433991,9.781930487173796e-06,175
outcome,RequiredIntervention,4.21799374982826,0.5273030049272086,0.46267422522352514,0.06462877970368347,1.2324282499531769e-05,1078
secondary suspect drug,Oxycodone Hydrochloride,3.894731229166291,0.5063013875381271,0.3665379528303547,0.13976343470777247,4.915383688619546e-05,200
indication,ATRIAL FIBRILLATION,3.6503504889073612,0.5000414447055492,0.3824776673777425,0.1175637773278067,0.00013094135650415506,244
indication,BREAST CANCER METASTATIC,3.5199416780072665,0.5212450661274632,0.3827612319287883,0.13848383419867494,0.00021582085034455023,162
secondary suspect drug,Codeine Phosphate,3.4762791737668364,0.4545402046538798,0.3661217020787352,0.08841850257514461,0.0002542113686654357,485
secondary suspect drug,Fluorouracil,3.4420804565715017,0.49738788315477767,0.36680460142713645,0.13058328172764122,0.00028862926522421617,175
secondary suspect drug,Tacrolimus,2.906736781862828,0.5094170292330473,0.36726159994745494,0.14215542928559238,0.0018261018673968454,106
indication,BACK PAIN,2.849607522975293,0.4562227677028668,0.3825490501681815,0.07367371753468527,0.0021886603670316918,368
indication,MULTIPLE MYELOMA,2.815882584284091,0.48816774201600627,0.38296764447394765,0.10520009754205861,0.002432172047365677,170
primary suspect drug,Bromfenac Sodium,2.7928155179428695,0.5376950777756843,0.41881950168418086,0.1188755760915034,0.0026125741067452024,130
route,oral,2.7525203119521846,0.3935195830685094,0.3744351136259463,0.019084469442563146,0.002956923884588125,19399
secondary suspect drug,Cefazolin Sodium,2.6311126759169663,0.49381830210678673,0.3673443434874607,0.12647395861932603,0.004255290729462957,108
primary suspect drug,Rosiglitazone Maleate,2.391165992959852,0.5083924299430179,0.41883306955486294,0.08955936038815498,0.00839747884308506,167
secondary suspect drug,Methylprednisolone,2.3502007365302817,0.4851862577881983,0.36744812673632465,0.11773813105187364,0.009381644510721321,101
secondary suspect drug,Clarithromycin,2.330696346438819,0.46805858153377666,0.36737785056265093,0.10068073097112573,0.00988468849200852,130
primary suspect drug,Moxifloxacin Hydrochloride,2.166317680791471,0.520987290914162,0.4189320379437527,0.10205525297040924,0.015143459771812307,111
secondary suspect drug,Prednisolone,2.0545994396672222,0.4696373247788038,0.36753485166461214,0.10210247311419168,0.019958854920576807,102
primary suspect drug,Infliximab,2.0500127086857662,0.48729975734443887,0.41882827469161693,0.06847148265282194,0.020181595331349778,221
indication,MULTIPLE SCLEROSIS,2.0452693564547793,0.4373082036976087,0.3829278529370804,0.05438035076052827,0.02041415502694277,345
indication,PNEUMONIA,2.0205950008943345,0.4801402635255231,0.38330007523185794,0.09684018829366514,0.02166085343219737,109
dose,ORAL,1.9870076800693948,0.4208513107640644,0.3826659543705414,0.038185356393522996,0.023460772885377068,666
